Song,Avg Rank,Best Rank,Weeks on Chart
#Beautiful,36.8125,15,16
#SELFIE,42.54545454545455,16,11
#thatPOWER,43.0625,17,16
$ave Dat Money,85.3157894736842,71,19
'98 Braves,72.71428571428571,27,7
'Til Summer Comes Around,74.8125,58,16
'Til You Can't,51.05555555555556,18,36
'Tis The Damn Season,65.0,39,2
(I've Had) The Time Of My Life,38.0,38,1
(If You're Wondering If I Want You To) I Want You To,100.0,100,1
(It) Feels So Good,74.0,35,4
(Kissed You) Good Night,58.05,34,20
(There's No Place Like) Home For The Holidays (1954),50.0,50,1
(There's No Place Like) Home For The Holidays (1959),36.0,22,13
***Flawless,82.4,41,20
+57,62.0,62,1
...Ready For It?,41.63157894736842,4,19
0 To 100 / The Catch Up,48.0,35,20
02.02.99,85.0,74,3
1 Night,68.3,49,20
1 Step Forward; 3 Steps Back,54.25,19,4
1+1,73.0,57,2
1-800-273-8255,34.41463414634146,3,41
1.5,86.0,86,1
10 Bands,80.15384615384616,58,13
10 Freaky Girls,57.75,42,4
100,91.4,82,10
100 Grandkids,100.0,100,1
100.mil',47.0,14,2
10:35,79.11111111111111,69,9
10;000 Hours,15.933333333333334,4,30
1400 / 999 Freestyle,65.0,55,3
143,88.54545454545455,76,11
16 Carriages,67.16666666666667,38,6
17 Again,90.0,90,1
18,87.0,87,1
180 (Lifestyle),79.5,63,2
19 You + Me,69.11111111111111,42,18
1901,91.5,84,10
1942,81.25,70,8
1942 Flows,83.0,83,1
1985 (Intro To The Fall Off),49.5,20,2
1994,67.54545454545455,52,11
1999,34.0,27,2
1; 2 Many,97.0,97,1
2 Be Loved (Am I Ready),75.76923076923077,55,13
2 Hands,41.0,41,1
2 Much,68.0,68,1
2 On,41.25,24,24
2 Phones,36.32,17,25
2 Reasons,57.25,43,20
20/20,94.0,94,1
2012 (It Ain't The End),50.57142857142857,31,14
2018,61.0,61,1
2040,62.5,31,2
2055,67.6470588235294,51,17
21,88.625,62,8
21st Century Girl,99.0,99,1
22,37.4,20,20
22 (Taylor's Version),52.0,52,1
223's,62.36842105263158,34,19
23,52.285714285714285,11,63
24,62.2,43,15
24 Hours,90.375,85,8
24/7,80.57894736842105,54,19
24K Magic,21.4390243902439,4,41
25,47.666666666666664,16,6
25 Million,77.0,77,1
25 To Life,92.0,92,1
25k Jacket,62.333333333333336,28,3
28,41.9,14,20
29,96.0,96,1
2AM,83.66666666666667,64,3
2Hoo,86.0,86,1
2U,37.90909090909091,16,11
2step,60.2,48,15
