Track,Album Name,Artist,Release Date,Spotify Streams,TrackNameLength
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,"39,04,70,936",17
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,"32,37,03,884",9
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,"60,13,09,283",20
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,"2,03,12,80,633",7
Houdini,Houdini,Eminem,5/31/2024,"10,70,34,922",7
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,"67,06,65,438",9
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,"90,01,58,751",15
Gata Only,Gata Only,FloyyMenor,2/2/2024,"67,50,79,153",8
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,"1,65,30,18,119",16
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,"9,06,76,573",20
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,"25,00,80,413",28
The Door,The Door,Teddy Swims,6/14/2024,"11,11,55,129",7
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,"22,16,36,195",5
Like That,WE DON'T TRUST YOU,Future,3/22/2024,"35,51,86,436",8
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,"2,97,185",13
LALA,LALA - Single,Myke Towers,3/22/2023,"92,56,55,569",4
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"39,54,33,400",23
greedy,greedy,Tate McRae,9/14/2023,"1,25,85,69,694",6
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,"9,12,72,461",4
As It Was,As It Was,Harry Styles,3/31/2022,"3,30,18,14,535",7
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,"1,06,53,99,331",15
Espresso,Espresso,Sabrina Carpenter,4/12/2024,"54,78,82,871",8
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,"1,65,55,75,417",16
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,"42,67,00,979",11
Future,Future,official sound studio,1/10/2024,,6
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,"73,82,759",28
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,"72,08,22,868",9
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,"59,10,68,364",30
Numb / Encore,Papercuts,JAY-Z,4/12/2024,"1,00,32,15,671",10
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,"1,64,50,79,292",16
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,"12,48,93,397",6
Water,Water,Tyla,7/28/2023,"67,03,76,179",5
Strangers,Strangers,Kenya Grace,9/1/2023,"75,01,54,960",9
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,"53,20,12,790",8
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,"47,94,17,905",34
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,"31,19,28,522",13
Lose Control,Lose Control,Teddy Swims,6/23/2023,"77,51,35,157",11
fukumean,fukumean,Gunna,6/15/2023,"75,99,98,727",8
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,"3,07,12,14,106",11
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,"21,42,37,645",15
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,"17,09,70,614",25
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,"1,65,82,29,422",10
Daylight,Daylight,David Kushner,4/14/2023,"1,12,68,20,069",8
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,"99,77,02,304",17
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,"5,93,14,441",18
Houdini,Houdini - Single,Dua Lipa,11/9/2023,"49,36,27,071",7
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/2024,"1,65,55,75,417",16
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,"30,49,29,492",15
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,"1,74,70,93,405",9
euphoria,euphoria,Kendrick Lamar,4/30/2024,"16,84,34,320",8
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,"1,04,271",9
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,"1,39,16,88,322",23
Shape of You,Shape of You,Ed Sheeran,1/6/2017,"3,90,94,58,734",10
Mitu,Mitu - Single,Maian,1/19/2023,"55,346",4
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,"1,33,76,19,917",28
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,,14
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,"1,65,55,75,417",16
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,"1,55,62,75,789",19
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,,17
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,"1,384",32
Supernova,Supernova,aespa,5/13/2024,"6,97,29,033",9
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,"1,81,19,90,630",13
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,"19,99,29,812",36
Calm Down,Calm Down,Rema,2/10/2022,"58,44,27,088",8
CARNIVAL,CARNIVAL,ýý$,2/8/2024,"46,68,87,055",8
Kill Bill,SOS,SZA,12/8/2022,"1,87,37,46,537",8
What Was I Made For? [From The Motion Picture "Barbie"],What Was I Made For? (From The Motion Picture "Barbie"),Billie Eilish,7/13/2023,"89,17,20,245",41
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,"46,567",5
Heat Waves,Heat Waves,Glass Animals,6/29/2020,"2,99,61,81,078",9
In the End,Papercuts,Linkin Park,4/12/2024,"2,04,55,12,421",8
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,"94,69,41,510",29
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/2023,"7,909",23
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,"1,01,04,94,713",11
un x100to,un x100to,Grupo Frontera,4/17/2023,"1,00,84,95,696",8
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,,9
Sprinter,Sprinter - Single,Dave,6/1/2023,"69,25,12,930",8
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,"16,94,10,711",7
TQG,TQG,KAROL G,2/23/2023,"1,02,43,81,758",3
Perfect,ýý (Deluxe),Ed Sheeran,3/3/2017,"2,96,99,99,682",7
Pepas,Pepas,Farruko,6/24/2021,"1,50,04,99,584",5
Peekaboo,Glide - Single,Dave Angel,1/27/2023,"8,082",8
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,"1,21,53,36,974",13
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,"86,00,26,452",31
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,"1,03,22,25,805",11
redrum,american dream,21 Savage,1/12/2024,"42,82,33,003",6
Easy On Me,Easy On Me,Adele,10/14/2021,"1,72,09,18,065",8
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,"1,51,42,39,759",10
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,"33,32,02,114",18
Anti-Hero,Midnights,Taylor Swift,10/21/2022,"1,56,32,24,246",8
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,"1,69,29,51,462",29
